movie,year,view rating,genre,IMDb rating,metascore,posters
Les rivières pourpres,2000,R,"Crime, Mystery, Thriller            ",6.9,49,"https://m.media-amazon.com/images/M/MV5BOGNmMDgxZTItYjNkNy00NDlhLTk2ZmItM2UwNDcwYzhmNDU2XkEyXkFqcGdeQXVyNjk1Njg5NTA@._V1_UY98_CR0,0,67,98_AL_.jpg"
The Replacements,2000,PG-13,"Comedy, Sport            ",6.5,30,"https://m.media-amazon.com/images/M/MV5BZGEwOWQzNmItM2FlNC00YTk3LTljNjYtNGQ1OTE2M2M4YzI0L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg"
Proof of Life,2000,R,"Action, Drama, Thriller            ",6.2,45,"https://m.media-amazon.com/images/M/MV5BMTMyODkwNzM3OV5BMl5BanBnXkFtZTYwMTc5Nzc5._V1_UX67_CR0,0,67,98_AL_.jpg"
Red Planet,2000,PG,"Action, Sci-Fi, Thriller            ",5.7,34,"https://m.media-amazon.com/images/M/MV5BMTY2MzE0MjAwOF5BMl5BanBnXkFtZTYwNDM4Mzg2._V1_UX67_CR0,0,67,98_AL_.jpg"
Best in Show,2000,PG,Comedy            ,7.5,78,"https://m.media-amazon.com/images/M/MV5BMTQ5OTc0NDU1MF5BMl5BanBnXkFtZTYwNzk1OTI3._V1_UX67_CR0,0,67,98_AL_.jpg"
Thirteen Days,2000,PG,"Drama, History, Thriller            ",7.3,67,"https://m.media-amazon.com/images/M/MV5BZDM5NzBkZWMtZDY2Ny00OGMxLTgzMDUtZDZkNzRhM2M5MDIxL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg"
The Legend of Bagger Vance,2000,PG,"Drama, Fantasy, Sport            ",6.7,47,"https://m.media-amazon.com/images/M/MV5BMWYzOGE4NGItYTAyNy00NDBkLTljYjMtYzE4MjFmYTY4NGVlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg"
Sexy Beast,2000,18A,"Crime, Drama, Thriller            ",7.3,79,"https://m.media-amazon.com/images/M/MV5BNTNlODAwMTUtNGJjZS00NDI0LWE3YWYtZGUzYzZiOGMyNmJkXkEyXkFqcGdeQXVyNzI1NzMxNzM@._V1_UY98_CR1,0,67,98_AL_.jpg"
Quills,2000,18A,"Biography, Drama            ",7.3,70,"https://m.media-amazon.com/images/M/MV5BYzEwMTExODAtNWQ2NS00ZWNiLTlhNDctYmMwNmM0OTAwNTIzL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX67_CR0,0,67,98_AL_.jpg"
Keeping the Faith,2000,PG-13,"Comedy, Drama, Romance            ",6.4,60,"https://m.media-amazon.com/images/M/MV5BMTMxNzg3MzQ3Nl5BMl5BanBnXkFtZTYwOTY4Nzc5._V1_UY98_CR0,0,67,98_AL_.jpg"
Dinosaur,2000,PG,"Animation, Adventure, Family            ",6.5,56,"https://m.media-amazon.com/images/M/MV5BZWQ1NTZjMjUtODNmZS00NTVhLWFhM2ItNWZiOTdjMzdhZTY2XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY98_CR0,0,67,98_AL_.jpg"
Boiler Room,2000,R,"Crime, Drama, Thriller            ",7.0,63,"https://m.media-amazon.com/images/M/MV5BYWQ2NDY3NjQtMTY3NS00M2VhLThlOTQtOGE4NzczY2RlYzg3XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg"
Nueve reinas,2000,PG,"Crime, Drama, Thriller            ",7.9,80,"https://m.media-amazon.com/images/M/MV5BMTYxMDdlYjItMDVkYy00MjYzLThhMTYtYjIzZjZiODk1ZWRmXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_UX67_CR0,0,67,98_AL_.jpg"
Nutty Professor II: The Klumps,2000,14A,"Comedy, Romance, Sci-Fi            ",4.4,38,"https://m.media-amazon.com/images/M/MV5BNjcyOWM2NTUtYzRjYS00ZTQ4LWFlZGItNTE2MDg4MGIxNjAyXkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_UY98_CR2,0,67,98_AL_.jpg"
Rules of Engagement,2000,14A,"Drama, Thriller, War            ",6.4,45,"https://m.media-amazon.com/images/M/MV5BZjZmNWI1MTgtZjVjNi00M2FjLWI4YjUtNzkwNmYyMzM4NjMwXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_UX67_CR0,0,67,98_AL_.jpg"
28 Days,2000,14A,"Comedy, Drama            ",6.0,46,"https://m.media-amazon.com/images/M/MV5BMDlkMmE5ZTEtNTA0YS00OTBjLTgyYmEtMGExMzJkOTRjNDg4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg"
The Kid,2000,G,"Comedy, Family, Fantasy            ",6.1,45,"https://m.media-amazon.com/images/M/MV5BYTYwM2JmNzgtNzVjMi00NzQ4LTk2MDQtOTE4N2U0ODU0YjYwXkEyXkFqcGdeQXVyMTQ3Njg3MQ@@._V1_UX67_CR0,0,67,98_AL_.jpg"
Ginger Snaps,2000,18A,"Drama, Fantasy, Horror            ",6.8,70,"https://m.media-amazon.com/images/M/MV5BMjY4OWNjYWQtODM2NC00MDk3LTgzMDgtM2QzZWFmYTNlNDk2XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY98_CR0,0,67,98_AL_.jpg"
Shadow of the Vampire,2000,14A,"Drama, Horror            ",6.9,71,"https://m.media-amazon.com/images/M/MV5BMGYxZDEzMDMtMDIzNy00OTQ5LTkzYmItYzdkYTgxMGRkOWVmXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg"
Tigerland,2000,R,"Drama, War            ",7.0,55,"https://m.media-amazon.com/images/M/MV5BMzRlZDEwYmItYjMwMC00NjliLWJlN2YtZmNkYjYxNjU4M2QxXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg"
Reindeer Games,2000,14A,"Action, Adventure, Crime            ",5.7,37,"https://m.media-amazon.com/images/M/MV5BZjNmNWIwZTAtMjM1MS00ODNiLTljYzMtNGI1ZmRkMmIxYzJiXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg"
Small Time Crooks,2000,PG,"Comedy, Crime            ",6.7,69,"https://m.media-amazon.com/images/M/MV5BNTA2NTBiMzEtMDA2My00YWNhLWJjMjAtYTUyMzMwNjM0Mjk2XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_UX67_CR0,0,67,98_AL_.jpg"
Chopper,2000,94 min,"Biography, Crime, Drama            ",7.2,65,"https://m.media-amazon.com/images/M/MV5BYjFhYWQyNTUtN2EwMy00ZDNiLTkyYjYtYjk2NGY5ZTc2YzIwXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UY98_CR0,0,67,98_AL_.jpg"
